일련번호,인증번호,인증일자,회사명,제품,등급,시험번호,S/W분류,제품 설명,총WD,재계약,특이사항,"시작날짜/
종료날짜",시험원
11,02-0005,2002.2.27,㈜스펙트라,eNomix V 1.0,-,,기업용 SW-고객관계관리(CRM),"<eService 솔루션>
실시간 상담이 가능한 Sync.(동기) 채널 관리 솔루션 
- eNomix Live Chat 
- eNomix Live Voice 
- eNomix Live Visual 
Async(비동기) 채널 관리 솔루션 
- eNomix Mail2000 
- eNomix Self2000 
<eMarketing 솔루션> 
Email을 통한 효율적인 마케팅 캠페인 관리를 위한 eNomix Campaigner
",,,,,
12,02-0006,2002.3.27,이래정보시스템㈜,Blue Eyes V 3.0,-,,시스템관리 SW-통합 관리(EMS),"Blue eyes(블루아이)는 컴퓨팅 자원 관리, 네트워크 장비관리, 네트워크 장애관리, 성능관리, 통신회선 관리, 서버 이력관리 등 전산자원을 통합 관리 함으로서, 컴퓨팅 자원의 효율적인 관리 행위로 관리자와 실무자의 업무 생산성을 향상 시켜 줄 수 있으며, 최소의 비용으로 최대의 효과를 
얻을 수 있습니다. 
TCP/IP 연결이 가능한 모든 Network(LAN, WAN, MAN)환경에서 대상 IT자원을 관리 할 수 있으며, SNMP를 지원하는 서버, 네트워크 장비들을 
모니터링하여 장애원인을 분석하고, 분석된 정보를 보고서 형태로 출력 가능하며, 다양하게 구성된 Network 및 전산 자원을 손쉽게 성능을 분석하여, 장애발생 전에 관리자에게 사전 메시지를 전달하여 장애를 사전에 제거 함으로서 최적의 컴퓨팅을 유지할 수 있는 기능을 지원합니다.",,,,,
13,02-0007,2002.3.27,㈜컴리빙아이티,i-Class Five V 1.05,-,,교육용 SW-온라인(e-learning)교수학습,"i-Class Five Ver1.05는 시간과 공간의 제약을 뛰어넘어 인터넷이 연결된 곳이면 누구나 함께 실시간 커뮤니케이션이 가능토록 지원해 주는 차세대 멀티미디어 커뮤니케이션 S/W입니다. 또한, 실시간으로 녹화하여 필요 시 언제라도 다시 볼 수 있어 교육의 반복 학습을 할 수 있도록 지원합니다.",,,,,
14,02-0008,2002.4.30,주식회사 시큐브,Secuve TOS WG V1.0,-,,보안용 SW-서버보안,"Secuve TOS WG는 Secure OS(서버보안)제품으로 공공기관 및 기업의 홈페이지 및 서버를 내/외부의 해킹으로부터 완벽하게 보호합니다. 기존의 네트워크 레벨의 보안 솔루션인 침입차단시스템(Firewall)과 침입탐지시스템(IDS)을 통과한 해커가 시스템관리자(root) 권한을 획득하더라도 중요정보의 위/변조 및 정보유출이 절대 불가능한 운영체제(Operating System) 레벨의 차세대 보안 솔루션 
",,,,,
15,02-0009,2002.4.30,㈜케이게이트,WizWeb3 V 3.0,-,,기업용 SW-그룹웨어(Groupware),"•WizMail(웹메일) - 이메일 자동발급 프로그램 
•WizBoard(웹게시판) - 게시판 생성관리 프로그램 
•WizMessenger(웹메신저) - 실시간 메시징 프로그램 
•WizCommunity(웹커뮤니티) - 커뮤니티 생성관리 
프로그램을 메신저에 통합 연동시킨 제품으로 강력한 커뮤니케이션 솔루션 그룹웨어 입니다. 
",,,,,
16,02-0010,2002.4.30,㈜소프트4소프트,RESORT V 1.0,-,,프로그램개발 관련 SW-소스코드분석,"RESORT는 S/W의 성능과 품질을 향상시키고, 재사용과 유지보수성을 높여주기 위한S/W Metrics 기반 S/W 분석, 재구축, 품질 평가, 시험 등의 통합 솔류션 도구입니다. 
RESORT는 프로그램 분석 및 이해를 위한 다양한 S/W Metrics 및 비쥬얼 문서 제r공, S/W 재개발을 위한 코드 자동 생성, 테스팅 완전성에 대한 커버리지 분석 및 비쥬얼 문서 제공, S/W 품질 향상 및 개선을 위한 Product Metrics, Maintainability(ISO 9126) 평가, 비쥬얼 문서 등을 지원합니다.",,,,,
17,02-0011,2002.4.30,스페이스인터내셔널㈜,CD Tower V 2.0,-,,유틸리티 SW-가상CD드라이브,"CD Tower는 LAN 또는 Web 상에서 사용자들이 서버에 저장된 CD 이미지파일을 직접 실행 할 수 있습니다. LAN 또는 Web에서 클릭 한번으로 모든 CD자료 검색하고 물리적인 CD-ROM 드라이브가 없이도 CD 프로그램을 실행합니다. 관리자가 일괄 또는 선택적으로 사용자들 PC에 CD를 삽입할 수 있고 CD별, 사용자별 사용횟수등 다양한 조회통계를 볼 수 있고 그룹별 사용자관리, 폴더별 CD 관리와 CD의 구입일, 구입단가등 CD의 자산관리도 함께할 수 있습니다. 클라이언트/서버 및 웹 환경 모두를 지원합니다. 순수 국내기술로 개발되어 외국 제품보다 적극적인 고객지원을 하고 있습니다.",,,,,
18,02-0012,2002.4.30,㈜컴리빙아이티,i-Class One2One V 1.05,-,,교육용 SW-온라인(e-learning)교수학습,i-Class One2One Ver1.05는 실시간/고품질/양방향 대화가 가능한 인터넷 화상교육 솔루션으로 시간과 공간의 제약을 뛰어넘어 인터넷이 연결된 곳이면 누구나 1:1 실시간 커뮤니케이션이 가능토록 지원해 주는 차세대 멀티미디어 커뮤니케이션 S/W입니다.,,,,,
19,02-0013,2002.5.30,㈜그린벨시스템즈,MANTIS-Professional v1.0,-,,기업용 SW-기타,"MANTIS Professional은 전자기술문서(IETM) /CBT/CAI 구축용 통합솔루션으로, 설계단계에서부터 생성되어 전수명주기동안 유지/보수/활용되는 각종 장비에 대한 종이형태의 각종 정비/기술문서를 CALS표준의 전자문서로 생성/관리/활용 하는 솔루션 입니다. 즉, 종이문서로 된 방대한 분량의 각종 기술매뉴얼을 디지털화 해 주는 XML기반의 전자기술문서 구축 솔루션으로 누구나 쉽고 편리하게 문서의 생성부터 활용까지 이용할 수 있는 SW 제품",,,,,
20,02-0014,2002.5.30,닉스테크㈜,SAFEpc v1.5,-,,보안용 SW-PC보안,"SafePC는 외부 해킹 툴로부터의 위협 및 내부자에 의한 시스템 남용으로 인한 피해 등 각종 잠재적인 위협요소에 대한 완벽한 클라이언트 레벨에서의 보안대책을 제공하고 한편으로는 체계적인 시스템자원 및 인적자원 관리를 통하여 효율적인 사내 자산활용을 돕는 PC보안 및 관리시스템 입니다.관리자는 중앙집중식 관리를 통해 개인의 PC사용이나 SW, HW 설치 현황, 네트워크 사용 현황을 모니터링하고, 개별 또는 전사적 PC사용에 대한 보안정책을 실행합니다.",,,,,
21,02-0015,2002.6.28,SimpleSoft,Simple Gallery V 1.0,-,,디지털콘텐츠 SW-기타,"심플갤러리는 웹상에서 동작하는 CGI 응용 프로그램으로 독립적인 홈페이지 포토앨범을 최소의 시간과 노력으로 손쉽게 구축/운영 할 수 있는 소프트웨어입니다. 
심플갤러리는 디지탈 사진 이미지를 주제별로 분류하여 관리 할 수 있는 강력한 기능의 종합관리모드와 사용자의 웹사이트에 어울리는 웹디자인을 마음대로 변경할 수 있도록 다양한 웹스킨디자인을 제공함은 물론 자신만의 스킨도 제작 할 수 있습니다. 또한 포토이메일발송 및 메모 기능 등의 다양한 부가기능을 통해 디지탈 사진 이미지 관리에 매우 유용하고 편리한 성능을 가지고 있습니다.",,,,,
22,02-0016,2002.6.28,㈜한국데이타비즈네스,통합카드발급프로그램 v1.0,-,,유틸리티 SW-기타,"이 통합 카드발급 프로그램 은 현행 신용카드 발급에 고객의 사진 및 서명을 신용카드에 전사하여 보다 안전하고 사용이 편리한 카드를 제작함에 있어서, 그간의 수작업에 의존하던 DATA 처리를 NERWORK 및 DataBase를 통해 하나의 시스템으로 통합하고 자동으로 발급할 수 있도록 한 프로그램 입니다",,,,,
23,02-0017,2002.6.28,㈜테크다임,Techdigm JCalc V 2.0,-,,사무용 SW-스프레드쉬트,"㈜테크다임의 “JCalc 2.0”은 100% 자체 기술로 개발된 Java기반의 스프레드시트로 인터넷 및 지식관리 환경에 최적의 구조를 갖춘 제품 객체지향 설계를 통해 2MB(공용모듈제외) 내외의 파일 크기로 구현되었고 각종 데이터 처리와 보고서작성, 회계관리, 데이터분석, 통계분석 등에 광범위하게 활용할 수 있습니다. 또한 셀 단위의 다양한 편집기능을 통해 간단한 문서편집은 물론 공공기관용의 서식문서 작성, 비즈니스문서 작성 등 광범위한 문서 편집 작업에도 활용할 수 있습니다. JCalc는 기존 스프레드시트의 사용자환경(UI)과 유사하여 이해하기 쉽고 사용하기 편리한 구조로 되어 있습니다.",,,,,
24,02-0018,2002.6.28,㈜수세리눅스코리아,Suse Linux 7.1K Professional,-,,운영체제 SW-리눅스 운영체제,"Microsoft사의 Windows의 출현과 더불어 컴퓨터의 보급이 눈에 띄게 향상되었으며, Windows가 컴퓨터 산업에 미친 영향 또한 지대하다고 할 수 있다. 하지만 독점적으로 운영되는 OS 시장에 새 바람을 불러 일으킨 제품이 바로 Linux OS라 할 수 있다.
  하지만 Windows에 비해 GUI 환경이 다소 약해 사용자들로 하여금 소외되어 왔으나 최근 들어 부쩍 Linux의 사용자들이 늘면서 Linux의 중요성을 논할 때가 온 것이다.
  이러한 추세에 발맞추어 S/W산업협회로부터 Linux 서버 시험을 의뢰 받아 저희 S/W시험센터로서는 같은 제품을 동일한 시기에 시험에 임하게 되어 좋은 전기를 마련하게 되었다.
",,,,,
25,02-0019,2002.6.28,㈜한컴리눅스,한컴리눅스OS 2.2 Professional,-,,운영체제 SW-리눅스 운영체제,레드햇 리눅스와의 호환성을 유지하면서 한국 리눅스 사용자들의 요구를 지속적으로 수용할 것을 목적으로 만들어진 리눅스 배포판,,,,,
26,02-0020,2002.7.31,소프트온넷㈜,Z!Stream v2.0,-,,시스템관리 SW-패치 관리(PMS),"Z!스트림은 스트리밍 방식의 SOD(Software on Demand) 제품으로서 각종 응용프로그램을 개인용 PC에 따로 설치하지 않고 서버에 일괄 설치하여 PC사용자가 서버 접속만으로 원하는 응용프로그램을 손쉽게 사용할 수 있도록 개발된 소프트웨어입니다. Z!스트림은 라이센스관리, 소프트웨어 배포, 업그레이드가 중앙 집중되고 간편해 관리비용을 획기적으로 절감할 수 있으며, 전산 담당 관리자들은 다양한 응용프로그램을 더 이상 도구가 아닌 서비스로 간편하고 신속하게 제공 할 수 있습니다. 즉, 정품소프트웨어를 기관 내에서 적법하게 활용함으로써 사용자 보호뿐만 아니라, 정품소프트웨어 확산을 통한 패키지소프트웨어 시장 확대를 통하여 개발사 보호에도 기여를 하고 있습니다.",,,,,
27,02-0021,2002.7.31,와우리눅스㈜,와우리눅스 7.1 파란,-,,운영체제 SW-리눅스 운영체제,"와우리눅스는 Info World에 4년 연속 ""최고의 운영체제 제품""으로 선정된 레드햇 리눅스를 바탕으로 만들어 집니다. 
그러나 와우리눅스는 레드햇리눅스를 기반으로 탄생하였으나 오랜 기간에 걸친 노력으로 대한민국의 사용자를 너무나 잘 이해하고 만들어 졌습니다. 이 말은 모태가 된 레드햇 리눅스보다 더욱 뛰어난 O/S라는 뜻입니다. 
국내 리눅스 보급에 많은 노력을 기울인 저희 와우리눅스는 초보자에서부터 전문가까지 가장 많은 사용자로부터 사랑받는 배포판으로 자리잡기 위해 오늘 이 시간에도 노력하고 있습니다.",,,,,
28,VT-02-001,2002.08.29,㈜시큐브,"Secuve TOS WG Agent
(Secuve TOS WG Manager)",-,,보안용 SW-서버보안/,전자서명 인증기법을 적용하여 세계 최초로 특허출원/상품화한 홈페이지 및 서버보안 솔루션으로 불법침입자가 시스템 관리자(root) 권한을 획득하더라도 시스템의 위/변조가 절대 불가능하게 함으로써 운영체제의 보안상 결함으로 인하여 발생 가능한 해킹을 원천적으로 차단합니다.,,,,,
29,02-0022,2002.8.30,대한상공회의소,SMERP V 1.0,-,,기업용 SW-전사적자원관리(ERP),"제조업종에 적합한 SMERP는 매출액 50~100억 규모에 최적화 되어 있습니다. 인사/급여, 회계, 판매/자재/구매, 생산, 원가시스템은 물론 경영정보까지 지원되는 똑똑한 S/W입니다. 인사/급여, 회계 등 일부 시스템만을 활용하실 경우는 물론 전업무에 적용하고자 하실 경우에도 한번의 설치로 활용하실 수 있습니다. 특히 인사/급여 기능이 우수하며, 판매/자재 관리에도 많은 기업이 활용 가능하도록 유연하게 설계되었습니다.",,,,,
30,02-0023,2002.10.31,한국통신데이타㈜,상하수도범용／ZEUS V1.0,-,,GIS SW-상하수도시설물관리,"상하수도용 범용/ZEUS V1.0은 건설교통부가 국가 GIS 구축과 활용 등에 관한 법률에 따라 범용프로그램 기본설계서 및 품질인증기준을 고시하고 GIS분야에서 최초로 시행하는 품질인증제도인 `지방자치단체의 상하수도 관리를 위한 범용프로그램 인증`제도를 도입함에 따라 지방자치단체의 상하수도 관리를 위해 개발된 제품으로 GIS를 위한 객체관계형 공간데이타베이스관리시스템으로 지리정보시스템(GIS) 기술과 데이타베이스시스템 기술을 통합, 접목하여 상하수도 관리시스템 구축에 가장 적합하도록 개발된 솔루션 입니다. 

",,,,,
31,02-0024,2002.10.31,㈜지노시스템,U-Solver V1.0,-,,GIS SW-상하수도시설물관리,"U-Solver는 지하시설물(상 하수도)관리 범용프로그램으로 C/S 또는 Stand-Alone 환경의 공간데이터베이스에 접근하여 지하시설물 관리대장 및 공간데이터의 입력, 수정, 편집을 수행할 수 있도록 제작된 프로그램 U-Solver는 상수도관리시스템, 하수도관리시스템, 운영자시스템, 편집시스템으로 구성되어 있으며, 필요에 따라 도로, 가스 등의 다양한 시설물에 대한 시스템의 구성을 지원할 수 있습니다. 컴포넌트를 기반으로 객체지향형 모델을 지원하는 U-Solver는 운영자시스템을 통하여 개별 사용자의 업무에 적합한 기능 및 데이터의 사용권한을 부여할 수 있습니다. 

",,,,,
32,02-0025,2002.11.27,"㈜인지소프트
(구: ㈜페어윈드소프트)
(구: ㈜유니온앤이씨)
(구: ㈜유니온정보시스템)",dDIMS V 3.0,-,,기업용 SW-기타,"dDIMS는 컴포넌트 기반으로 개발된 전사적 전자문서 관리시스템으로 문서의 체계적인 분류와 문서의 life-cycle 관리를 통해 조직내의 분산된 다양한 문서를 효율적으로 활용 및 관리할 수 있는 솔루션 조직의 지식저장소 역할을 함으로써 대외 경쟁력과 업무생산성을 향상시키고, 문서의 보안성 증대 및 비용절감을 가능하게 합니다.",,,,,
33,02-0026,2002.11.27,㈜윕스,DAL V 2.5 ,-,,디지털콘텐츠 SW-디지털콘텐츠관리(CMS),"㈜윕스의 DAL(Digital Active Library) Ver 2.5는 디지털 자료(학술/멀티미디어/음악/비디오 CD-ROM, DVD-ROM)를 다수의 사용자가 네트워크를 통하여 동시 검색 및 구동할 수 있도록 할 뿐아니라, 관리기능, 통계기능을 함께 제공하는 제품",,,,,
34,"03-0021
(02-0028)",2002.12.9,"㈜티지더블유
(㈜한국지형정보시스템)",한국관(상하수도 범용/TGW) V 1.0,-,,GIS SW-상하수도시설물관리,"지방자치단체의 상?하수도 시설물 관리업무에 활용할 지리정보시스템(Geographic Information System)을 구축함에 있어, 모든 지방자치단체에 공통적으로 활용할 수 있는 상?하수도 시설물관리 프로그램",,,,,
35,VT-02-002,2002.12.12,㈜포스데이타,ISign v 2.0,-,,"보안용 SW-인증관리(PKI,SSO)/",기업 내 다양한 애플리케이션들의 사용자 인증을 PKI 방식의 인증 체계로 통합하여 사용자에게 단일 인증환경을 제공하고 체계적인 관리 환경을 제공하는 보안 인증 소프트웨어,,,,,
36,VT-02-003,2002.12.30,㈜인텔리젼스웨어,c-napse(GSS) V 1.0,-,,기업용 SW-기타/,"하나의 플랫폼에서 기업 내부, 외부 시스템의 연동, 통합 및 협업 실현을 지원 하며 J2EE/XML 기반의 개방형 아키텍처, 어댑터 아키텍처를 채택하여 ERP, CRM, Legacy, e-Business Application 등 다양한 기업 내 기간 시스템들과 이 기종 데이터의 손쉬운 변환 및 연동, 통합을 지원하고 있습니다. 또한 RosettaNet 등 업계 표준문서 및 프로세스 탬플릿을 지원하여 고객이 글로벌 기업간 전자상거래를 효과적으로 수행할 수 있도록 하고 있습니다",,,,,
37,03-0001,2003.2.28,㈜하나디에스디,LifeEduBuilder V 1.0,-,,디지털콘텐츠 SW-웹페이지저작,"라이프에듀빌더(LIFEEDUBUILDER)는 각급학교의 졸업생의 정보를 작성하여 자동으로 온라인 
졸업앨범과 오프라인 졸업앨범CD를 생성시키는 솔루션 
윈도우서버 및 리눅스서버 지원용 스크립을 자동생성하고 통합형 템플릿을 통해 가장 빠르고 누구나 쉽게 앨범제작을 가능하게 합니다. 
",,,,,
38,03-0002,2003.2.28,㈜연성정보기술,Email+ V 3.0,-,,기업용 SW-고객관계관리(CRM),"이메일플러스(Email+)는 인터넷상에서의 고객 접점을 통합적으로 관리하고 응대할 수 있는 인터넷 고객 접점관리 솔루션 이메일플러스(Email+)는 고객 채널 및 정보의 통합, 고객과의 관계를 유지하고 관리하는 프로세스, 고객 응대 경험의 축적 및 활용, 응대를 위한 상담원간의 협업 기능 등을 지원하며, 이 모든 기능이 순수하게 웹기반으로 구현되어 있어 사용자의 편리성을 한층 높였습니다. 

",,,,,
39,03-0003,2003.2.28,"㈜포스비브테크
(구:㈜포스정보)",책꽂이KDC V3.1,-,GS-03-002,유틸리티 SW-기타,"책꽂이 KDC 는 도서관 관리 전문 프로그램 입니다.국내 유일한 한국도서관 협회 공인인증 프로그램으로서 국내 유일하게 한국 십진분류법 제4판을 수록하고 있습니다무엇보다도 초보자가 쉽게 조작할 수 있는 편리하고 간편한 인터페이스와 KORMARC(KOrean MAchine Readable Cataloging) 체계의 DATA 관리로 다른 도서관의 DATA와도 호환 지원 됩니다.책꽂이 KDC는 초, 중, 고등학교 도서관에서 사용이 편리하도록 구성되어있으며, 전문적인 도서관 운영 지식이 없더라도 누구나 쉽게 이해하고 운영할 수 있도록 제작되어있고 실제로 책꽂이를 이용하여 운영하고 있는 각 학교로부터 호평을 받고 있습니다.",,,,,
40,03-0004,2003.2.28,㈜켈코인,Challenger Webzine webschool V 3.0,-,,디지털콘텐츠 SW-웹페이지저작,정보전달을 목적으로 구축되는 커뮤니티포털 사이트 구축 솔루션 패키지제품으로서 학교에서 발생되는 각종 콘텐츠들을 구성원들간에 보다 쉽게 공유할 수 있도록 도와줍니다. 본패키지는 데이터베이스부터 웹디자인 까지 일괄적으로 제공하여 프로그래머나 디자이너가 없이도 웹사이트를 운영하도록 지원합니다. 리눅스가 설치된 시스템환경에서 동작하는 본패키지를 30분 내외의 빠른 설치시간을 통해서 컴퓨터활용교육(ICT)에 필요한 인터넷기반의 정보 전달 및 공유의 환경을 제공합니다. 선생님들만의 공간인 온라인 교무회의를 통해서 주요 전달사항을 언제 어디서나 웹을 통해서 커뮤니케이션이 가능하게됩니다,,,,,
41,VT-03-001,2003.03.10,㈜포스데이타,Biz Binder v1.0,-,,기업용 SW-기타/,ebXML을 기반으로 기업간 협업 효과를 극대화하기 위한 기업간거래(B2Bi) 지원 소프트웨어,,,,,
42,VT-03-002,2003.03.10,스페이스인터내셔널㈜,CD-Tower 3.1,-,,유틸리티 SW-가상CD드라이브/,"CD Tower는 LAN 또는 Web 상에서 사용자들이 서버에 저장된 CD 이미지파일을 직접 실행 할 수 있습니다. LAN 또는 Web에서 클릭 한번으로 모든 CD자료 검색하고 물리적인 CD-ROM 드라이브가 없이도 CD 프로그램을 실행합니다. 
관리자가 일괄 또는 선택적으로 사용자들 PC에 CD를 삽입할 수 있고 CD별, 사용자별 사용횟수등 다양한 조회통계를 볼 수 있고 그룹별 사용자관리, 폴더별 CD 관리와 CD의 구입일, 구입단가등 CD의 자산관리도 함께할 수 있습니다. 
클라이언트/서버 및 웹 환경 모두를 지원합니다. 
순수 국내기술로 개발되어 외국 제품보다 적극적인 고객지원을 하고 있습니다.",,,,,
43,03-0005,2003.4.7,연희정보통신㈜,상하수도 범용/UFCom V1.0,-,GS-03-005,GIS SW-상하수도시설물관리,"UFCom은 객체관계형 공간데이타베이스 관리시스템으로 지리정보시스템(GIS) 기술과 데이터베이스 시스템 기술을 통합하여 지방자치단체의 상하수도 관리시스템 구축에 가장 적합하도록 개발된 솔루션 
Client-Server 환경에서 운영되며, 공간데이터의 입력 및 편집기능과, 시설물대장 및 이력관리 기능, 공사관리기능, 표준화된 GUI를 제공하며, 특히 옵션(확장)모듈 사용시 수용가의 사용량을 분석하므로 지방자치단체의 상하수도 관리에 최적의 솔루션이 될 것입니다. 

",,,,2003.03.17~2003.03.28,박상욱
44,03-0006,2003.04.07,"㈜에스지알아이
(구:㈜뉴테크웨이브)",VirusChaser v5.0,-,GS-03-006,보안용 SW-바이러스백신,"VirusChaser는 초고속통신망 보급 및 인터넷 기술 발달로 파생되는 역기능적 요소중 바이러스에 대응하기 위해 개발되었습니다. 
바이러스는 나날이 지능적, 치명적으로 발전하고 이제는 누구나 충동적으로 만들고 전달시킬 수 있는 다수의 공유물이 되어가고 있습니다. 
VirusChaser는 네트웍 및 인터넷, 이메일 등을 통한 컴퓨터 바이러스의 침입을 실시간으로 예방하고 컴퓨터상의 바이러스를 검출 및 치료하는 기능을 제공합니다. 

",,,,2003.03.17~2003.03.28,구자경
